image_1,image_2,day_diff,change_detected
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2014-8-30.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2016-4-23.jpg,602 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1021/2016-9-11.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1021/2017-3-8.jpg,178 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_10/2015-4-3.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_10/2016-4-28.jpg,391 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_101/2015-8-3.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_101/2016-2-13.jpg,194 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2012-2-1.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2012-9-2.jpg,214 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2012-9-2.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2015-10-14.jpg,1137 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1023/2011-11-11.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1023/2014-4-6.jpg,877 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2016-4-17.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2016-4-23.jpg,6 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1023/2011-11-11.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1023/2016-9-22.jpg,1777 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1001/2015-5-29.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1001/2016-5-3.jpg,340 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2015-10-14.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2016-4-5.jpg,174 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_10/2015-6-27.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_10/2016-4-28.jpg,306 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2012-2-1.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2016-4-5.jpg,1525 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1021/2016-7-15.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1021/2016-9-11.jpg,58 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_101/2015-12-24.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_101/2016-2-13.jpg,51 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1023/2016-1-17.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1023/2016-9-22.jpg,249 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_103/2015-10-18.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_103/2016-3-5.jpg,139 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1040/2016-2-19.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1040/2016-9-26.jpg,220 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1023/2011-11-11.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1023/2016-1-17.jpg,1528 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_103/2015-10-18.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_103/2016-10-26.jpg,374 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1042/2012-9-19.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1042/2012-9-24.jpg,5 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2014-8-30.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2016-10-27.jpg,789 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1023/2014-4-6.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1023/2016-9-22.jpg,900 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1040/2016-2-19.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1040/2016-5-5.jpg,76 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1040/2016-5-5.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1040/2016-6-10.jpg,36 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1042/2012-9-24.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1042/2015-12-24.jpg,1186 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1040/2016-6-10.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1040/2016-9-26.jpg,108 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_103/2016-3-5.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_103/2016-7-26.jpg,143 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1042/2012-9-19.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1042/2016-9-20.jpg,1462 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1042/2015-12-24.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1042/2016-9-20.jpg,271 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_103/2016-7-26.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_103/2016-10-26.jpg,92 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1023/2014-4-6.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1023/2016-1-17.jpg,651 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1045/2012-10-6.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1045/2014-7-24.jpg,656 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1045/2013-3-2.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1045/2014-7-24.jpg,509 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_103/2016-3-5.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_103/2016-10-26.jpg,235 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1045/2012-10-6.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1045/2016-6-2.jpg,1335 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1053/2011-10-1.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1053/2014-5-3.jpg,945 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1040/2016-2-19.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1040/2016-6-10.jpg,112 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1045/2012-10-6.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1045/2013-3-2.jpg,147 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_103/2015-10-18.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_103/2016-7-26.jpg,282 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_105/2014-6-2.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_105/2016-10-14.jpg,865 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1050/2011-9-23.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1050/2014-6-7.jpg,988 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1053/2014-5-3.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1053/2016-1-25.jpg,632 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2016-4-17.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2016-10-27.jpg,193 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1050/2014-4-27.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1050/2014-6-7.jpg,41 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1040/2016-5-5.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1040/2016-9-26.jpg,144 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1050/2011-9-23.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1050/2014-4-27.jpg,947 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1042/2012-9-24.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1042/2016-9-20.jpg,1457 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1050/2014-6-7.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1050/2016-7-21.jpg,775 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_105/2014-6-2.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_105/2016-9-14.jpg,835 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1045/2013-3-2.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1045/2016-6-2.jpg,1188 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1056/2016-7-13.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1056/2016-8-14.jpg,32 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1045/2014-7-24.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1045/2016-6-2.jpg,679 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1050/2014-4-27.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1050/2016-7-21.jpg,816 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_105/2014-6-2.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_105/2016-11-12.jpg,894 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1053/2014-5-3.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1053/2016-8-13.jpg,833 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1057/2015-6-18.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1057/2016-2-3.jpg,230 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_105/2016-9-14.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_105/2016-11-12.jpg,59 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1050/2011-9-23.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1050/2016-7-21.jpg,1763 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1057/2015-1-25.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1057/2016-2-3.jpg,374 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_105/2016-9-14.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_105/2016-10-14.jpg,30 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1053/2011-10-1.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1053/2016-1-25.jpg,1577 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1056/2016-6-26.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1056/2016-8-14.jpg,49 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1056/2016-6-26.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1056/2016-7-13.jpg,17 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1057/2015-1-25.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1057/2015-5-27.jpg,122 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_106/2016-3-24.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_106/2016-4-19.jpg,26 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1053/2011-10-1.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1053/2016-8-13.jpg,1778 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1053/2016-1-25.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1053/2016-8-13.jpg,201 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_106/2016-4-19.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_106/2016-9-21.jpg,155 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1056/2016-6-26.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1056/2016-8-15.jpg,50 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1066/2011-7-30.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1066/2016-1-28.jpg,1643 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1060/2015-4-21.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1060/2016-3-4.jpg,318 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_106/2016-3-24.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_106/2016-9-21.jpg,181 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_106/2015-4-16.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_106/2016-4-19.jpg,369 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1057/2015-5-27.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1057/2016-2-3.jpg,252 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1056/2016-7-13.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1056/2016-8-15.jpg,33 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_107/2012-6-14.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_107/2016-9-5.jpg,1544 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1060/2015-4-21.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1060/2016-5-3.jpg,378 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1056/2016-8-14.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1056/2016-8-15.jpg,1 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_107/2012-6-14.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_107/2016-7-26.jpg,1503 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1057/2015-1-25.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1057/2015-6-18.jpg,144 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1066/2016-1-28.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1066/2016-1-31.jpg,3 days,True
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1072/2012-10-4.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1072/2012-11-11.jpg,38 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1066/2015-5-31.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1066/2016-1-31.jpg,245 days,False
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_107/2016-7-5.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_107/2016-7-26.jpg,21 days,False
